    t              u1             u2
0.000909091    0.000909091      -0.412154
0.00181787     0.00181821      -0.412306
0.00272634     0.00272737      -0.412454
0.00363451     0.00363655        -0.4126
0.00454236     0.00454576      -0.412743
0.00544991     0.00545501      -0.412883
0.00635715     0.00636429      -0.413021
0.00726407     0.00727359      -0.413155
0.0081707     0.00818293      -0.413287
0.00907701      0.0090923      -0.413416
0.00998302      0.0100017      -0.413542
0.0108887      0.0109111      -0.413665
0.0117941      0.0118206      -0.413786
0.0126992      0.0127301      -0.413903
0.013604      0.0136396      -0.414018
0.0145084      0.0145492       -0.41413
0.0154126      0.0154587      -0.414239
0.0163165      0.0163684      -0.414346
0.01722       0.017278      -0.414449
0.0181233      0.0181877       -0.41455
0.0190262      0.0190974      -0.414648
0.0199289      0.0200071      -0.414743
0.0208312      0.0209169      -0.414835
0.0217332      0.0218267      -0.414925
0.022635      0.0227365      -0.415011
0.0235364      0.0236464      -0.415095
0.0244375      0.0245562      -0.415176
0.0253384      0.0254662      -0.415255
0.0262389      0.0263761       -0.41533
0.0271391      0.0272861      -0.415403
0.028039      0.0281961      -0.415473
0.0289386      0.0291061       -0.41554
0.0298379      0.0300162      -0.415604
0.030737      0.0309263      -0.415665
0.0316357      0.0318364      -0.415724
0.0325341      0.0327466       -0.41578
0.0334322      0.0336568      -0.415833
0.03433       0.034567      -0.415883
0.0352276      0.0354772      -0.415931
0.0361248      0.0363875      -0.415976
0.0370217      0.0372978      -0.416018
0.0379183      0.0382082      -0.416057
0.0388147      0.0391185      -0.416093
0.0397107      0.0400289      -0.416127
0.0406064      0.0409394      -0.416158
0.0415019      0.0418498      -0.416186
0.042397      0.0427603      -0.416211
0.0432919      0.0436708      -0.416233
0.0441865      0.0445814      -0.416253
0.0450807      0.0454919       -0.41627
0.0459747      0.0464025      -0.416284
0.0468684      0.0473132      -0.416295
0.0477618      0.0482238      -0.416304
0.0486549      0.0491345       -0.41631
0.0495477      0.0500452      -0.416313
0.0504402       0.050956      -0.416313
0.0513324      0.0518668      -0.416311
0.0522244      0.0527776      -0.416305
0.053116      0.0536884      -0.416297
0.0540074      0.0545993      -0.416287
0.0548985      0.0555102      -0.416273
0.0557892      0.0564211      -0.416257
0.0566797       0.057332      -0.416238
0.05757       0.058243      -0.416216
0.0584599       0.059154      -0.416191
0.0593495       0.060065      -0.416164
0.0602389      0.0609761      -0.416134
0.0611279      0.0618872      -0.416101
0.0620167      0.0627983      -0.416066
0.0629052      0.0637095      -0.416027
0.0637935      0.0646207      -0.415986
0.0646814      0.0655319      -0.415943
0.0655691      0.0664431      -0.415896
0.0664564      0.0673544      -0.415847
0.0673435      0.0682656      -0.415795
0.0682303       0.069177       -0.41574
0.0691169      0.0700883      -0.415682
0.0700031      0.0709997      -0.415622
0.0708891      0.0719111      -0.415559
0.0717748      0.0728225      -0.415494
0.0726603       0.073734      -0.415425
0.0735454      0.0746455      -0.415354
0.0744303       0.075557       -0.41528
0.0753149      0.0764685      -0.415203
0.0761992      0.0773801      -0.415124
0.0770833      0.0782917      -0.415042
0.077967      0.0792033      -0.414957
0.0788505      0.0801149       -0.41487
0.0797338      0.0810266      -0.414779
0.0806167      0.0819383      -0.414687
0.0814994      0.0828501      -0.414591
0.0823819      0.0837618      -0.414493
0.083264      0.0846736      -0.414391
0.0841459      0.0855854      -0.414288
0.0850275      0.0864972      -0.414181
0.0859089      0.0874091      -0.414072
0.08679       0.088321       -0.41396
0.0876708      0.0892329      -0.413845
0.0885513      0.0901449      -0.413728
0.0894316      0.0910568      -0.413608
0.0903116      0.0919688      -0.413485
0.0911914      0.0928809       -0.41336
0.0920709      0.0937929      -0.413232
0.0929501       0.094705      -0.413101
0.0938291      0.0956171      -0.412967
0.0947078      0.0965292      -0.412831
0.0955863      0.0974414      -0.412692
0.0964645      0.0983535      -0.412551
0.0973425      0.0992658      -0.412407
0.0982201       0.100178       -0.41226
0.0990976        0.10109       -0.41211
0.0999747       0.102003      -0.411958
0.100852       0.102915      -0.411803
0.101728       0.103827      -0.411645
0.102605        0.10474      -0.411485
0.103481       0.105652      -0.411322
0.104357       0.106564      -0.411156
0.105232       0.107477      -0.410988
0.106108       0.108389      -0.410817
0.106983       0.109302      -0.410643
0.107858       0.110214      -0.410467
0.108733       0.111127      -0.410287
0.109607       0.112039      -0.410106
0.110481       0.112952      -0.409921
0.111355       0.113864      -0.409734
0.112229       0.114777      -0.409545
0.113102        0.11569      -0.409352
0.113975       0.116602      -0.409157
0.114848       0.117515       -0.40896
0.115721       0.118428       -0.40876
0.116594       0.119341      -0.408557
0.117466       0.120253      -0.408351
0.118338       0.121166      -0.408143
0.119209       0.122079      -0.407932
0.120081       0.122992      -0.407719
0.120952       0.123905      -0.407502
0.121823       0.124818      -0.407284
0.122694       0.125731      -0.407062
0.123565       0.126644      -0.406838
0.124435       0.127557      -0.406611
0.125305       0.128469      -0.406382
0.126175       0.129383       -0.40615
0.127045       0.130296      -0.405916
0.127914       0.131209      -0.405678
0.128783       0.132122      -0.405439
0.129652       0.133035      -0.405196
0.130521       0.133948      -0.404951
0.131389       0.134861      -0.404703
0.132258       0.135774      -0.404453
0.133126       0.136687        -0.4042
0.133994       0.137601      -0.403945
0.134861       0.138514      -0.403687
0.135729       0.139427      -0.403426
0.136596        0.14034      -0.403162
0.137463       0.141254      -0.402896
0.138329       0.142167      -0.402628
0.139196        0.14308      -0.402357
0.140062       0.143994      -0.402083
0.140928       0.144907      -0.401807
0.141794       0.145821      -0.401528
0.14266       0.146734      -0.401246
0.143525       0.147647      -0.400962
0.14439       0.148561      -0.400675
0.145255       0.149474      -0.400386
0.14612       0.150388      -0.400094
0.146985       0.151302      -0.399799
0.147849       0.152215      -0.399502
0.148713       0.153129      -0.399202
0.149577       0.154042        -0.3989
0.150441       0.154956      -0.398595
0.151305        0.15587      -0.398288
0.152168       0.156783      -0.397978
0.153031       0.157697      -0.397665
0.153894       0.158611       -0.39735
0.154757       0.159524      -0.397032
