    t            u1            u2
0              0         -0.412
0.01              0      -0.413712
0.02      0.0100415      -0.415122
0.03      0.0201246       -0.41623
0.04      0.0302493      -0.417033
0.05      0.0404153      -0.417528
0.06      0.0506226      -0.417714
0.07      0.0608708       -0.41759
0.08      0.0711595      -0.417153
0.09      0.0814882      -0.416403
0.1      0.0918562      -0.415338
0.11       0.102263      -0.413958
0.12       0.112707      -0.412261
0.13       0.123189      -0.410247
0.14       0.133706      -0.407916
0.15       0.144258      -0.405267
0.16       0.154843      -0.402302
0.17       0.165461      -0.399019
0.18       0.176109      -0.395419
0.19       0.186787      -0.391503
0.2       0.197491      -0.387272
0.21       0.208222      -0.382727
0.22       0.218976       -0.37787
0.23       0.229752      -0.372701
0.24       0.240547      -0.367224
0.25        0.25136      -0.361438
0.26       0.262188      -0.355348
0.27       0.273028      -0.348955
0.28       0.283879      -0.342263
0.29       0.294737      -0.335273
0.3         0.3056      -0.327989
0.31       0.316464      -0.320415
0.32       0.327328      -0.312554
0.33       0.338188      -0.304409
0.34        0.34904      -0.295985
0.35       0.359883      -0.287287
0.36       0.370711      -0.278318
0.37       0.381523      -0.269082
0.38       0.392315      -0.259586
0.39       0.403083      -0.249833
0.4       0.413824       -0.23983
0.41       0.424534      -0.229581
0.42        0.43521      -0.219093
0.43       0.445848       -0.20837
0.44       0.456443      -0.197419
0.45       0.466994      -0.186246
0.46       0.477494      -0.174858
0.47       0.487942       -0.16326
0.48       0.498333      -0.151459
0.49       0.508663      -0.139462
0.5       0.518928      -0.127277
0.51       0.529124      -0.114909
0.52       0.539248      -0.102366
0.53       0.549296     -0.0896547
0.54       0.559264     -0.0767833
0.55       0.569148     -0.0637587
0.56       0.578944     -0.0505885
0.57       0.588649     -0.0372803
0.58       0.598259     -0.0238415
0.59        0.60777       -0.01028
0.6       0.617179     0.00339649
0.61       0.626482      0.0171803
0.62       0.635676      0.0310636
0.63       0.644757      0.0450385
0.64       0.653722      0.0590973
0.65       0.662568      0.0732321
0.66       0.671292      0.0874351
0.67        0.67989       0.101698
0.68        0.68836       0.116015
0.69       0.696698       0.130375
0.7       0.704903       0.144774
0.71       0.712971       0.159201
0.72         0.7209       0.173651
0.73       0.728687       0.188116
0.74       0.736331       0.202587
0.75       0.743828       0.217058
0.76       0.751178       0.231522
0.77       0.758377       0.245972
0.78       0.765425         0.2604
0.79       0.772319         0.2748
0.8       0.779058       0.289164
0.81        0.78564       0.303487
0.82       0.792065       0.317762
0.83       0.798331       0.331982
0.84       0.804438       0.346141
0.85       0.810383       0.360234
0.86       0.816167       0.374254
0.87       0.821789       0.388196
0.88       0.827249       0.402055
0.89       0.832545       0.415824
0.9       0.837678       0.429498
0.91       0.842648       0.443074
0.92       0.847455       0.456545
0.93       0.852099       0.469908
0.94        0.85658       0.483158
0.95       0.860899        0.49629
0.96       0.865055         0.5093
0.97        0.86905       0.522186
0.98       0.872885       0.534942
0.99        0.87656       0.547565

Iterations quantity is 100
